"","ResponseId","email_timing","email","Q1","Q2","Q3","Q5","Q6","Q7","Q9","Q10","Q11","Q13","Q14","Q15","Q16","Q18","Q19","Q20"
"89","R_2EhMbBl3fWHUkFh",0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0
"90","R_2EiVbozpWaQF6TS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"91","R_2EoyFEdGZiiiewX",1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1
"92","R_2OO9qCKhXOEO8vF",1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1
"93","R_2PgLvCThbmlFsIr",1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
"94","R_2PhPB9R377VGuQj",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
"95","R_2PhwxFWayl14SRs",0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0
"96","R_2PnGzdBGb7uzzFt",1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1
"97","R_2QhdcqlCf7KqdFR",1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0
"98","R_2R3pcg02utHSVKS",1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"99","R_2S3ohxBNclThMdK",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"100","R_2Spj65ojJpL5BMD",0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0
"101","R_2TBlvgMGsQ8YLxX",0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
"102","R_2TS0lyhaVBeboSv",0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"103","R_2TUaPjFshRv47Ui",1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
"104","R_2TZwlalWpePC3Lf",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"105","R_2TtnYG7drNcxtQN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","R_2Vkme7yQxB4hnPV",0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1
"107","R_2Vsfaw75TlzKn1Y",0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0
"108","R_2WM6PqRcNcaDt85",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"109","R_2XcD1S7kRYsjMeP",1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"110","R_2Xh2R0ucq2oixyd",1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
"111","R_2YJnYeaQbKIA3Xf",1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0
